L1Seed,PileUp,Total,Prescale0,Fired0,
Count,31.2,15379,1,15379,
L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142,31.2,15379,6,0,
L1_DoubleJet100er2p5,31.2,15379,170,0,
L1_DoubleJet120er2p5,31.2,15379,70,0,
L1_DoubleJet40er2p5,31.2,15379,8400,0,
L1_DoubleMu0_SQ,31.2,15379,1500,0,
L1_DoubleMu0er1p5_SQ_OS,31.2,15379,450,0,
L1_DoubleMu4_SQ_OS,31.2,15379,700,0,
L1_DoubleMu4p5er2p0_SQ_OS,31.2,15379,80,0,
L1_FirstBunchAfterTrain,31.2,15379,269167,0,
L1_FirstBunchBeforeTrain,31.2,15379,269167,0,
L1_FirstBunchInTrain,31.2,15379,269167,0,
L1_FirstCollisionInOrbit,31.2,15379,1103,0,
L1_FirstCollisionInTrain,31.2,15379,269167,0,
L1_HTT120er,31.2,15379,11400,0,
L1_HTT160er,31.2,15379,4100,0,
L1_HTT200er,31.2,15379,1600,0,
L1_HTT255er,31.2,15379,500,0,
L1_IsolatedBunch,31.2,15379,110,0,
L1_LastCollisionInTrain,31.2,15379,269167,0,
L1_Mu3_Jet120er2p5_dR_Max0p8,31.2,15379,3,0,
L1_Mu3_Jet16er2p5_dR_Max0p4,31.2,15379,400,0,
L1_Mu3_Jet30er2p5,31.2,15379,11000,0,
L1_Mu3_Jet35er2p5_dR_Max0p4,31.2,15379,256,0,
L1_Mu3_Jet60er2p5_dR_Max0p4,31.2,15379,52,0,
L1_Mu3_Jet80er2p5_dR_Max0p4,31.2,15379,13,0,
L1_QuadJet36er2p5_IsoTau52er2p1,31.2,15379,190,0,
L1_SingleEG10er2p5,31.2,15379,7600,0,
L1_SingleEG15er2p5,31.2,15379,1350,0,
L1_SingleEG26er2p5,31.2,15379,780,0,
L1_SingleEG28_FWD2p5,31.2,15379,45,0,
L1_SingleEG8er2p5,31.2,15379,44000,0,
L1_SingleJet120,31.2,15379,350,0,
L1_SingleJet120_FWD3p0,31.2,15379,40,0,
L1_SingleJet35,31.2,15379,64000,0,
L1_SingleJet35_FWD3p0,31.2,15379,103000,0,
L1_SingleJet60,31.2,15379,17000,0,
L1_SingleJet60_FWD3p0,31.2,15379,770,0,
L1_SingleJet90,31.2,15379,1500,0,
L1_SingleJet90_FWD3p0,31.2,15379,250,0,
L1_SingleMu15_DQ,31.2,15379,1300,0,
L1_SingleMu3,31.2,15379,22000,0,
L1_SingleMu5,31.2,15379,1700,0,
L1_SingleMu7,31.2,15379,200,0,
L1_SingleMuOpen,31.2,15379,63000,0,
L1_TripleMu_5SQ_3SQ_0OQ,31.2,15379,35,0,
L1_ZeroBias,31.2,15379,17881,0,
