L1Seed,PileUp,Total,Prescale0,Fired0,
Count,-1,984,1,984,
L1_AlwaysTrue,-1,984,0,0,
L1_BPTX_AND_Ref1_VME,-1,984,0,0,
L1_BPTX_AND_Ref3_VME,-1,984,0,0,
L1_BPTX_AND_Ref4_VME,-1,984,0,0,
L1_BPTX_BeamGas_B1_VME,-1,984,0,0,
L1_BPTX_BeamGas_B2_VME,-1,984,0,0,
L1_BPTX_BeamGas_Ref1_VME,-1,984,0,0,
L1_BPTX_BeamGas_Ref2_VME,-1,984,0,0,
L1_BPTX_NotOR_VME,-1,984,0,0,
L1_BPTX_OR_Ref3_VME,-1,984,0,0,
L1_BPTX_OR_Ref4_VME,-1,984,0,0,
L1_BPTX_RefAND_VME,-1,984,0,0,
L1_BptxMinus,-1,984,0,0,
L1_BptxOR,-1,984,0,0,
L1_BptxPlus,-1,984,0,0,
L1_BptxXOR,-1,984,0,0,
L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142,-1,984,6,0,
L1_DoubleEG8er2p5_HTT260er,-1,984,0,0,
L1_DoubleEG8er2p5_HTT280er,-1,984,0,0,
L1_DoubleEG8er2p5_HTT300er,-1,984,1,0,
L1_DoubleEG8er2p5_HTT320er,-1,984,0,0,
L1_DoubleEG8er2p5_HTT340er,-1,984,0,0,
L1_DoubleEG_15_10_er2p5,-1,984,0,0,
L1_DoubleEG_20_10_er2p5,-1,984,0,0,
L1_DoubleEG_22_10_er2p5,-1,984,0,0,
L1_DoubleEG_25_12_er2p5,-1,984,1,0,
L1_DoubleEG_25_14_er2p5,-1,984,0,0,
L1_DoubleEG_27_14_er2p5,-1,984,0,0,
L1_DoubleEG_LooseIso20_10_er2p5,-1,984,0,0,
L1_DoubleEG_LooseIso22_10_er2p5,-1,984,0,0,
L1_DoubleEG_LooseIso22_12_er2p5,-1,984,1,0,
L1_DoubleEG_LooseIso25_12_er2p5,-1,984,0,0,
L1_DoubleIsoTau28er2p1,-1,984,0,0,
L1_DoubleIsoTau28er2p1_Mass_Max80,-1,984,0,0,
L1_DoubleIsoTau28er2p1_Mass_Max90,-1,984,0,0,
L1_DoubleIsoTau30er2p1,-1,984,0,0,
L1_DoubleIsoTau30er2p1_Mass_Max80,-1,984,0,0,
L1_DoubleIsoTau30er2p1_Mass_Max90,-1,984,0,0,
L1_DoubleIsoTau32er2p1,-1,984,1,0,
L1_DoubleIsoTau34er2p1,-1,984,0,0,
L1_DoubleIsoTau36er2p1,-1,984,0,0,
L1_DoubleJet100er2p3_dEta_Max1p6,-1,984,0,0,
L1_DoubleJet100er2p5,-1,984,170,0,
L1_DoubleJet112er2p3_dEta_Max1p6,-1,984,1,0,
L1_DoubleJet120er2p5,-1,984,70,0,
L1_DoubleJet150er2p5,-1,984,1,0,
L1_DoubleJet30er2p5_Mass_Min150_dEta_Max1p5,-1,984,0,0,
L1_DoubleJet30er2p5_Mass_Min200_dEta_Max1p5,-1,984,0,0,
L1_DoubleJet30er2p5_Mass_Min250_dEta_Max1p5,-1,984,0,0,
L1_DoubleJet30er2p5_Mass_Min300_dEta_Max1p5,-1,984,1,0,
L1_DoubleJet30er2p5_Mass_Min330_dEta_Max1p5,-1,984,0,0,
L1_DoubleJet30er2p5_Mass_Min360_dEta_Max1p5,-1,984,0,0,
L1_DoubleJet35_Mass_Min450_IsoTau45_RmOvlp,-1,984,0,0,
L1_DoubleJet40er2p5,-1,984,8400,0,
L1_DoubleJet_100_30_DoubleJet30_Mass_Min620,-1,984,0,0,
L1_DoubleJet_110_35_DoubleJet35_Mass_Min620,-1,984,0,0,
